Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
/scratch/alpine/clbd1748/Australia_copy/QC_reads/10718_HFLF3BCXX-2_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_069305.1.fna	52.3179	47.9483	98.12	0.222	96.15-100.24	0.222	0.11-0.42	1	1.100	50/442	93.21	0	NC_069305.1 Anomobryum gemmigerum chloroplast, complete genome
/scratch/alpine/clbd1748/Australia_copy/QC_reads/10718_HFLF3BCXX-2_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_025525.1.fna	47.6821	52.0517	98.97	0.203	97.30-101.04	0.203	0.10-0.33	1	1.054	93/653	93.91	0	NC_025525.1 Myrmecia israelensis culture-collection UTEX:1181 chloroplast, complete genome
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12426_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_058688.1.fna	100.0000	100.0000	98.49	0.811	97.90-99.12	0.811	0.60-1.06	1	1.463	162/460	96.69	0	NC_058688.1 Casuarina cunninghamiana clone C11 chloroplast, complete genome
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12432_HFKW2BCXX-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_081912.1.fna	75.8621	76.5263	99.92	0.429	98.99-101.17	0.429	0.26-0.61	1	1.310	145/418	96.64	0	NC_081912.1 Chenopodium petiolare chloroplast, complete genome
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12432_HFKW2BCXX-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_025525.1.fna	24.1379	23.4737	98.12	0.136	94.53-98.88	0.136	0.12-0.34	1	1.000	50/653	92.05	0	NC_025525.1 Myrmecia israelensis culture-collection UTEX:1181 chloroplast, complete genome
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12463_H3VCKBCXX-2_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_050962.1.fna	100.0000	100.0000	99.54	0.130	96.88-100.28	0.130	0.11-0.29	1	1.061	49/453	93.08	0	NC_050962.1 Fosbergia shweliensis chloroplast, complete genome
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12493_H3VCKBCXX-2_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_023102.1.fna	100.0000	100.0000	98.98	0.146	95.29-99.80	0.146	0.12-0.37	1	1.068	44/435	92.88	0	NC_023102.1 Ajuga reptans plastid, complete genome
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12495_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_024036.1.fna	100.0000	100.0000	100.00	1.518	99.80-100.28	1.518	1.26-1.85	2	2.070	431/537	99.29	0	NC_024036.1 Trifolium repens plastid, complete genome
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12497_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_027484.1.fna	100.0000	100.0000	96.96	0.214	94.11-98.07	0.214	0.17-0.50	1	1.097	31/410	92.01	0	NC_027484.1 Poa palustris voucher CAN:Saarela 1080 plastid, complete genome
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12562_H3VCKBCXX-2_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_083914.1.fna	100.0000	100.0000	98.65	0.158	95.86-99.24	0.158	0.12-0.38	1	1.073	41/419	92.78	0	NC_083914.1 Ototropis elegans chloroplast, complete sequence
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12564_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_041269.1.fna	100.0000	100.0000	97.02	3.255	NA-NA	HIGH	NA-NA	3	3.255	165/422	97.02	0	NC_041269.1 Montia fontana voucher Chase 18915 (K) plastid, complete genome
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12568_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_024036.1.fna	53.6105	49.9911	98.46	0.189	96.36-100.19	0.189	0.10-0.38	1	1.050	60/537	93.17	0	NC_024036.1 Trifolium repens plastid, complete genome
